Run,TID,L1_hit,L2_hit,DRAM_hit,N_accesses,N_mem_stalls,N_L2_mem_stalls,N_L2_miss_mem_stalls,L1_cycles,L2_cycles,DRAM_cycles
ft.B.x_LARC_C,30,59.74,36.552054,3.70794600000001,303802809,,,,,,
ft.B.x_LARC_C,31,59.51,36.760871,3.729129,303621034,,,,,,
ep.B.x_A64FX,0,99.25,0.21315,0.536850000000001,457527780,4304142475,9681609,19905160,25041343470,879608149,2582714904
ep.B.x_A64FX,1,99.27,0.207466,0.522534000000007,457536757,4305817194,9443102,22110525,25168083193,830917794,3156341496
ep.B.x_A64FX,2,99.26,0.210308,0.529691999999997,457537397,4294690303,7183966,21893960,25088931450,826560142,2638506332
ep.B.x_A64FX,3,99.27,0.207466,0.522534000000007,457537829,4292598966,6652582,21093199,25095344582,824828568,2589608252
ep.B.x_A64FX,4,99.26,0.210308,0.529691999999997,457535925,4296126786,7806366,19218151,25141280978,819759148,3049341988
ep.B.x_A64FX,5,99.27,0.207466,0.522534000000007,457537250,4292071238,7160645,20826684,25183156196,812945793,2645449576
ep.B.x_A64FX,6,99.27,0.207466,0.522534000000007,457535432,4295960820,7562531,20457855,25165633966,852397358,2747527552
ep.B.x_A64FX,7,99.26,0.210308,0.529691999999997,457538462,4296820060,7063008,20440071,25172944456,860062541,2598929564
ep.B.x_A64FX,8,99.26,0.210308,0.529691999999997,457536502,4297400226,7651416,20786159,25171525357,837439796,3098875472
ep.B.x_A64FX,9,99.27,0.207466,0.522534000000007,457536909,4296758909,7603280,20840936,25171205719,909471009,2439481352
ep.B.x_A64FX,10,99.26,0.210308,0.529691999999997,457537179,4297109537,8051978,20618650,25169364121,876322849,2874942532
ep.B.x_A64FX,11,99.27,0.207466,0.522534000000007,457537696,4299586060,9130146,20537124,25160452009,837218238,2866218432
ep.B.x_A64FX_32,0,99.21,0.012087,0.777913000000012,326802030,,,,,,
ep.B.x_A64FX_32,1,99.26,0.011322,0.728677999999988,326814620,,,,,,
ep.B.x_A64FX_32,2,99.26,0.011322,0.728677999999988,326812462,,,,,,
ep.B.x_A64FX_32,3,99.26,0.011322,0.728677999999988,326814321,,,,,,
ep.B.x_A64FX_32,4,99.26,0.011322,0.728677999999988,326812533,,,,,,
ep.B.x_A64FX_32,5,99.26,0.011322,0.728677999999988,326812361,,,,,,
ep.B.x_A64FX_32,6,99.26,0.011322,0.728677999999988,326813973,,,,,,
ep.B.x_A64FX_32,7,99.26,0.011322,0.728677999999988,326811732,,,,,,
ep.B.x_A64FX_32,8,99.26,0.011322,0.728677999999988,326813463,,,,,,
ep.B.x_A64FX_32,9,99.26,0.011322,0.728677999999988,326812192,,,,,,
ep.B.x_A64FX_32,10,99.26,0.011322,0.728677999999988,326811866,,,,,,
ep.B.x_A64FX_32,11,99.26,0.011322,0.728677999999988,326813459,,,,,,
ep.B.x_A64FX_32,12,99.26,0.011322,0.728677999999988,326813126,,,,,,
ep.B.x_A64FX_32,13,99.26,0.011322,0.728677999999988,326813441,,,,,,
ep.B.x_A64FX_32,14,99.26,0.011322,0.728677999999988,326812522,,,,,,
ep.B.x_A64FX_32,15,99.26,0.011322,0.728677999999988,326812913,,,,,,
ep.B.x_A64FX_32,16,99.26,0.011322,0.728677999999988,326813767,,,,,,
ep.B.x_A64FX_32,17,99.26,0.011322,0.728677999999988,326811691,,,,,,
ep.B.x_A64FX_32,18,99.26,0.011322,0.728677999999988,326813813,,,,,,
ep.B.x_A64FX_32,19,99.26,0.011322,0.728677999999988,326811047,,,,,,
ep.B.x_A64FX_32,20,99.26,0.011322,0.728677999999988,326814029,,,,,,
ep.B.x_A64FX_32,21,99.26,0.011322,0.728677999999988,326814324,,,,,,
ep.B.x_A64FX_32,22,99.26,0.011322,0.728677999999988,326812371,,,,,,
ep.B.x_A64FX_32,23,99.26,0.011322,0.728677999999988,326813109,,,,,,
ep.B.x_A64FX_32,24,99.26,0.011322,0.728677999999988,326812585,,,,,,
ep.B.x_A64FX_32,25,99.26,0.011322,0.728677999999988,326813266,,,,,,
ep.B.x_A64FX_32,26,99.26,0.011322,0.728677999999988,326814050,,,,,,
ep.B.x_A64FX_32,27,99.26,0.011322,0.728677999999988,326813265,,,,,,
ep.B.x_A64FX_32,28,99.26,0.011322,0.728677999999988,326813639,,,,,,
ep.B.x_A64FX_32,29,99.26,0.011322,0.728677999999988,326812443,,,,,,
ep.B.x_A64FX_32,30,99.26,0.011322,0.728677999999988,326812455,,,,,,
ep.B.x_A64FX_32,31,99.26,0.011322,0.728677999999988,326812780,,,,,,
ep.B.x_LARC_A,0,99.22,0.319956,0.460043999999996,326802030,,,,,,
ep.B.x_LARC_A,1,99.27,0.299446,0.430554000000001,326814620,,,,,,
ep.B.x_LARC_A,2,99.27,0.299446,0.430554000000001,326812462,,,,,,
ep.B.x_LARC_A,3,99.27,0.299446,0.430554000000001,326814321,,,,,,
ep.B.x_LARC_A,4,99.27,0.299446,0.430554000000001,326812533,,,,,,
ep.B.x_LARC_A,5,99.27,0.299446,0.430554000000001,326812361,,,,,,
ep.B.x_LARC_A,6,99.27,0.299446,0.430554000000001,326813973,,,,,,
ep.B.x_LARC_A,7,99.27,0.299446,0.430554000000001,326811732,,,,,,
ep.B.x_LARC_A,8,99.27,0.299446,0.430554000000001,326813463,,,,,,
ep.B.x_LARC_A,9,99.27,0.299446,0.430554000000001,326812192,,,,,,
ep.B.x_LARC_A,10,99.27,0.299446,0.430554000000001,326811866,,,,,,
ep.B.x_LARC_A,11,99.27,0.299446,0.430554000000001,326813459,,,,,,
ep.B.x_LARC_A,12,99.27,0.299446,0.430554000000001,326813126,,,,,,
ep.B.x_LARC_A,13,99.27,0.299446,0.430554000000001,326813441,,,,,,
ep.B.x_LARC_A,14,99.27,0.299446,0.430554000000001,326812522,,,,,,
ep.B.x_LARC_A,15,99.27,0.299446,0.430554000000001,326812913,,,,,,
ep.B.x_LARC_A,16,99.27,0.299446,0.430554000000001,326813767,,,,,,
ep.B.x_LARC_A,17,99.27,0.299446,0.430554000000001,326811691,,,,,,
